"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"11/2007","-1,73","2,28","26,67"
"12/2007","0,91","-0,70","94,74"
"01/2008","-0,66","-0,62","-27,03"
"02/2008","-2,63","-4,37","-9,26"
"03/2008","-1,16","3,91","-2,04"
"04/2008","-1,10","-3,54","14,58"
"05/2008","-1,68","-3,43","43,64"
"06/2008","-2,51","-2,30","-6,33"
"07/2008","-1,70","-1,59","-28,38"
"08/2008","1,31","4,33","-47,17"
"09/2008","11,62","17,13","-7,14"
"10/2008","20,74","10,50","73,08"
"11/2008","4,30","10,30","-20,00"
"12/2008","5,65","0,17","-22,22"
"01/2009","-3,63","-0,89","71,43"
"02/2009","0,23","2,69","14,58"
"03/2009","0,05","-2,66","-63,64"
"04/2009","-4,66","-5,91","140,00"
"05/2009","-6,57","-9,42","-2,08"
"06/2009","-5,01","-1,08","-23,40"
"07/2009","-1,27","-4,05","-33,33"
"08/2009","-4,53","0,74","-37,50"
"09/2009","-1,38","-5,74","60,00"
"10/2009","-4,47","-1,92","16,67"
"11/2009","-0,71","0,37","46,43"
"12/2009","1,40","-0,53","-9,76"
"01/2010","1,69","7,67","102,70"
"02/2010","3,47","-3,40","4,00"
"03/2010","-3,03","-1,66","-33,33"
"04/2010","-1,64","-2,83","9,62"
"05/2010","3,22","4,98","-24,56"
"06/2010","-0,37","-0,84","-100,00"
"07/2010","-2,04","-2,46",""
"08/2010","-0,57","-0,07","300,00"
"09/2010","-2,32","-3,52","1025,00"
"10/2010","-2,05","0,42","66,67"
"11/2010","1,77","0,86","10,67"
"12/2010","-1,16","-2,91","-24,10"
"01/2011","-1,09","0,43","31,75"
"02/2011","-0,41","-0,73","-3,61"
"03/2011","-0,53","-1,96","-1,25"
"04/2011","-4,38","-3,40","-2,53"
"05/2011","1,70","0,42","-38,96"
"06/2011","-1,64","-1,19","-68,09"
"07/2011","-1,46","-0,31","6,67"
"08/2011","2,11","1,99","131,25"
"09/2011","9,57","16,83","43,24"
"10/2011","1,30","-8,95","-18,87"
"11/2011","1,01","7,25","20,93"
"12/2011","2,59","3,58","-3,85"
"01/2012","-2,57","-7,29","12,00"
