Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,5.438200,5.478100,5.431400,5.438100,5.438100,0
2021-05-05,5.443400,5.444300,5.362600,5.442600,5.442600,0
2021-05-06,5.352700,5.372500,5.257100,5.352700,5.352700,0
2021-05-07,5.273467,5.290300,5.203200,5.273431,5.273431,0
2021-05-10,5.235900,5.248800,5.198400,5.235500,5.235500,0
2021-05-11,5.222600,5.279000,5.205000,5.222200,5.222200,0
2021-05-12,5.221300,5.266900,5.210000,5.221200,5.221200,0
2021-05-13,5.300813,5.319200,5.251600,5.303100,5.303100,0
2021-05-14,5.307400,5.308400,5.250500,5.307700,5.307700,0
2021-05-17,5.269600,5.317900,5.249970,5.269500,5.269500,0
2021-05-18,5.271700,5.278600,5.229191,5.271500,5.271500,0
2021-05-19,5.259600,5.303400,5.257332,5.259500,5.259500,0
2021-05-20,5.308400,5.309900,5.275300,5.308000,5.308000,0
2021-05-21,5.281400,5.327200,5.271000,5.281300,5.281300,0
2021-05-24,5.362800,5.366300,5.311100,5.361800,5.361800,0
2021-05-25,5.318600,5.320500,5.293200,5.318500,5.318500,0
2021-05-26,5.330400,5.339400,5.286200,5.330700,5.330700,0
2021-05-27,5.310500,5.312200,5.258450,5.310500,5.310500,0
2021-05-28,5.238100,5.258425,5.217302,5.238200,5.238200,0
2021-05-31,5.237900,5.258302,5.197600,5.238000,5.238000,0
2021-06-01,5.216800,5.220000,5.145081,5.216600,5.216600,0
2021-06-02,5.150000,5.171800,5.066600,5.149700,5.149700,0
2021-06-03,5.074500,5.078000,5.072352,5.074500,5.074500,0
2021-06-04,5.076600,5.107600,5.053700,5.076300,5.076300,0
2021-06-07,5.044700,5.066100,5.018300,5.044600,5.044600,0
2021-06-08,5.043358,5.066300,5.019900,5.045200,5.045200,0
2021-06-09,5.035200,5.066700,5.018300,5.034900,5.034900,0
2021-06-10,5.059751,5.077700,5.030888,5.061500,5.061500,0
