"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)"
"09/2018","4,75","-3,18"
"10/2018","-8,70","-7,15"
"11/2018","0,75","3,92"
"12/2018","2,60","0,30"
"01/2019","-3,69","-5,75"
"02/2019","-0,48","2,37"
"03/2019","3,30","4,23"
"04/2019","1,29","1,25"
"05/2019","2,70","-0,12"
"06/2019","-3,57","-2,75"
"07/2019","-2,06","-1,76"
"08/2019","6,37","9,92"
"09/2019","2,53","0,63"
"10/2019","-0,85","-3,85"
"11/2019","1,67","5,49"
"12/2019","-1,10","-4,58"
"01/2020","0,97","5,92"
"02/2020","4,62","5,37"
"03/2020","12,51","15,56"
"04/2020","9,04","4,39"
"05/2020","5,97","-0,01"
"06/2020","-7,92","0,92"
"07/2020","1,61","-4,98"
"08/2020","3,43","5,15"
"09/2020","-1,13","3,10"
"10/2020","4,19","2,32"
"11/2020","-3,70","-7,63"
"12/2020","-5,03","-2,53"
"01/2021","4,09","5,37"
"02/2021","1,12","0,99"
"03/2021","4,24","3,02"
"04/2021","-1,49","-5,16"
"05/2021","-4,87","-3,17"
"06/2021","-4,90","-4,40"
"07/2021","2,48","2,39"
"08/2021","1,84","0,42"

"Fonte : Econodados"
"econodados.com.br"
